,condition,elevation,humidity,latitude,location,longitude,pressure,temperature,time
0,Sunny,27.07,0.73,-33.87,Sydney,151.21,1017.3,19.84,1451566800
1,Sunny,27.07,0.76,-33.87,Sydney,151.21,1016.84,19.22,1451570400
2,Sunny,27.07,0.71,-33.87,Sydney,151.21,1016.2,20.0,1451574000
3,Rain,27.07,0.82,-33.87,Sydney,151.21,1015.82,18.31,1451577600
4,Sunny,27.07,0.86,-33.87,Sydney,151.21,1015.81,17.78,1451581200
5,Sunny,27.07,0.84,-33.87,Sydney,151.21,1015.3,17.98,1451584800
6,Rain,27.07,0.89,-33.87,Sydney,151.21,1016.22,16.93,1451588400
7,Sunny,27.07,0.85,-33.87,Sydney,151.21,1016.32,18.42,1451592000
8,Sunny,27.07,0.62,-33.87,Sydney,151.21,1016.12,22.11,1451595600
9,Rain,27.07,0.59,-33.87,Sydney,151.21,1016.28,22.46,1451599200
10,Sunny,27.07,0.53,-33.87,Sydney,151.21,1016.11,24.08,1451602800
11,Sunny,27.07,0.49,-33.87,Sydney,151.21,1014.9,25.39,1451606400
12,Sunny,27.07,0.52,-33.87,Sydney,151.21,1014.9,25.06,1451610000
13,Sunny,27.07,0.53,-33.87,Sydney,151.21,1014.36,25.27,1451613600
14,Sunny,27.07,0.44,-33.87,Sydney,151.21,1013.22,26.39,1451617200
15,Sunny,27.07,0.5,-33.87,Sydney,151.21,1013.32,25.44,1451620800
16,Sunny,27.07,0.51,-33.87,Sydney,151.21,1012.74,25.16,1451624400
17,Sunny,27.07,0.43,-33.87,Sydney,151.21,1011.6,26.53,1451628000
18,Sunny,27.07,0.54,-33.87,Sydney,151.21,1012.05,24.05,1451631600
19,Sunny,27.07,0.59,-33.87,Sydney,151.21,1012.57,22.82,1451635200
20,Sunny,27.07,0.61,-33.87,Sydney,151.21,1012.54,21.81,1451638800
21,Sunny,27.07,0.67,-33.87,Sydney,151.21,1013.89,21.22,1451642400
